"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","560","Verify Place Order IPHONE 13 PRO","chromium","2026-06-26","failed","2026-06-26","Verify Place Order","16placeOrder.spec.ts","",""
"","16557","handling iframe inside shadowdom","chromium","2026-06-12","passed","2026-06-12","","07shadowdom.spec.ts","",""
"","571","Verify Place Order ADIDAS ORIGINA","chromium","2026-06-26","failed","2026-06-26","Verify Place Order","16placeOrder.spec.ts","",""
"","30593","handling alerts","chromium","2026-06-25","passed","2026-06-25","","06Alerts.spec.ts","",""
"","32163","simple test","chromium","2026-06-25","passed","2026-06-25","","github copilot.spec.ts","",""
"","26941","Handling Alerts","chromium","2026-06-25","passed","2026-06-25","","06Alerts.spec.ts","",""
"","33139","Handling alerts","chromium","2026-06-25","passed","2026-06-25","","06Alerts.spec.ts","",""
"","3","Handling Shadow Element","chromium","2026-06-12","skipped","2026-06-12","","07shadowdom.spec.ts","",""
"","596","Verify Place Order ZARA COAT 3","chromium","2026-06-26","failed","2026-06-26","Verify Place Order","16placeOrder.spec.ts","",""
"","15616","clickactions","chromium","2026-06-26","passed","2026-06-26","","02Clickactions.spec.ts","",""
